,Show,NAME,LAT,LONG,COUNTRY,geometry
195,no,Mbalabala,29.04026004,-20.44662003,Zimbabwe,POINT (29.04026004 -20.44662003)
196,no,Mberengwa,29.90539008,-20.46596004,Zimbabwe,POINT (29.90539008 -20.46596004)
197,no,Mbizi,31.00955004,-21.38901003,Zimbabwe,POINT (31.00955004 -21.38901003)
198,no,Melfort,31.30074,-17.97579999,Zimbabwe,POINT (31.30074 -17.97579999)
199,no,Mlibizi,27.08436996,-17.95356999,Zimbabwe,POINT (27.08436996 -17.95356999)
200,no,Monoti Store,28.58591016,-17.77137003,Zimbabwe,POINT (28.58591016 -17.77137003)
201,no,Mount Darwin,31.57599996,-16.77372003,Zimbabwe,POINT (31.57599996 -16.77372003)
202,no,Mount Hampden Junction,30.93108984,-17.7318,Zimbabwe,POINT (30.93108984 -17.7318)
203,no,Mphoengs,27.86508,-21.20789997,Zimbabwe,POINT (27.86508 -21.20789997)
204,no,Mpinga,30.56883012,-17.51261004,Zimbabwe,POINT (30.56883012 -17.51261004)
205,no,Msango,29.76382008,-17.40616002,Zimbabwe,POINT (29.76382008 -17.40616002)
206,no,Msonedi,30.88725012,-17.14272003,Zimbabwe,POINT (30.88725012 -17.14272003)
207,no,Msuna,26.81265996,-18.03626001,Zimbabwe,POINT (26.81265996 -18.03626001)
208,no,Mubayira,30.58539012,-18.31823001,Zimbabwe,POINT (30.58539012 -18.31823001)
209,no,Mubiya,25.78541004,-18.10911996,Zimbabwe,POINT (25.78541004 -18.10911996)
210,no,Mujere,27.92835,-17.09330004,Zimbabwe,POINT (27.92835 -17.09330004)
211,no,Mukani,32.28558984,-18.54261,Zimbabwe,POINT (32.28558984 -18.54261)
212,no,Mukosa,32.63230008,-16.65590004,Zimbabwe,POINT (32.63230008 -16.65590004)
213,no,Mukumbura,31.69162008,-16.21540998,Zimbabwe,POINT (31.69162008 -16.21540998)
214,no,Mukwa,27.23061996,-18.91530999,Zimbabwe,POINT (27.23061996 -18.91530999)
215,no,Murambinda,31.62408984,-19.30852998,Zimbabwe,POINT (31.62408984 -19.30852998)
216,no,Murehwa,31.76978004,-17.63687997,Zimbabwe,POINT (31.76978004 -17.63687997)
217,no,Mushumbi Pools,30.54359988,-16.17095997,Zimbabwe,POINT (30.54359988 -16.17095997)
218,no,Mutambara,32.67758988,-19.52695998,Zimbabwe,POINT (32.67758988 -19.52695998)
219,no,Mutasa,32.64643008,-18.54821997,Zimbabwe,POINT (32.64643007999999 -18.54821997)
220,no,Mutawatawa,31.88342016,-17.18559,Zimbabwe,POINT (31.88342016 -17.18559)
221,no,Mutepatepa,31.22102988,-16.94761002,Zimbabwe,POINT (31.22102988 -16.94761002)
